Channels,News Title,News url,Language,Sentiment
The Daily Star,"New Polls Timing BNP upbeat process irks Jamaat, NCP",https://www.thedailystar.net/news/bangladesh/politics/news/new-polls-timing-bnp-upbeat-process-irks-jamaat-ncp-3916976,en,
The Daily Star,BNP announces candidates for 36 more constituencies,https://www.thedailystar.net/news/bangladesh/politics/news/bnp-announces-candidates-36-more-constituencies-4050536,en,
The Daily Star,Seat-sharing snub riles BNP allies,https://www.thedailystar.net/news/bangladesh/politics/news/seat-sharing-snub-riles-bnp-allies-4052206,en,
The Daily Star,Seat sharing BNP still keeps allies hanging,https://www.thedailystar.net/news/bangladesh/politics/news/seat-sharing-bnp-still-keeps-allies-hanging-4062181,en,
The Daily Star,"Election to be tough for BNP, bigger test if voted to power",https://www.thedailystar.net/news/bangladesh/politics/news/election-be-tough-bnp-bigger-test-if-voted-power-4061006,en,
The Daily Star,Old habits die hard? BNP’s response,https://www.thedailystar.net/opinion/views/news/old-habits-die-hard-bnps-response-4033496,en,
The Daily Star,BNP at 47: Caught between prospects and perils,https://www.thedailystar.net/news/bangladesh/politics/news/bnp-47-caught-between-prospects-and-perils-3975581,en,
The Daily Star,BNP’s show of force on Airport Road and a political culture that refuses to change,https://www.thedailystar.net/opinion/views/news/bnps-show-force-airport-road-and-political-culture-refuses-change-3795471,en,
The Daily Star,Fulfilling Uprising's Aspirations: Correction Before Election?,https://www.thedailystar.net/opinion/editorial/news/bnp-must-get-its-house-order-3727971,en,
Prothom Alo,BNP rethinks its approach to allies,https://en.prothomalo.com/bangladesh/politics/n8wdif39or,en,
Prothom Alo,BNP’s Masuduzzaman quits race over 'security issues',https://en.prothomalo.com/bangladesh/9pkzu86yuv,en,
Prothom Alo,"Meeting of 29 party allies, decision to sort things out with BNP soon",https://en.prothomalo.com/bangladesh/politics/pbdxuupv0a,en,
Prothom Alo,66pc say BNP will win the most seats in the election,https://en.prothomalo.com/bangladesh/jsto3ql5zk,en,
Prothom Alo,BNP wants to push ahead with election plans amid Khaleda Zia’s illness,https://en.prothomalo.com/bangladesh/politics/kxnoeb9umk,en,
Prothom Alo,"Candidates busy in campaign, but Reza Kibria dominates discussion",https://en.prothomalo.com/bangladesh/politics/dunevrwld4,en,
Prothom Alo,Those who seek to exploit crisis are enemies of the country: Mirza Fakhrul,https://en.prothomalo.com/bangladesh/politics/k4see0a2ji,en,
Prothom Alo,BNP wants to make Tarique Rahman’s return “memorable”,https://en.prothomalo.com/bangladesh/politics/z9eceb7lr1,en,
Prothom Alo,BNP in dilemma over implementation of reform recommendations,https://en.prothomalo.com/bangladesh/politics/fx9ahjguud,en,
Prothom Alo,Is BNP stepping into trouble?,https://en.prothomalo.com/opinion/op-ed/pmyhyeikw9,en,
প্রথম আলো,বিএনপি ছেড়ে এনসিপির প্রার্থী হয়ে আলোচনায় সাবেক প্রতিমন্ত্রী মনজুর,https://www.prothomalo.com/politics/juller8ad4,bn,
প্রথম আলো,"‘দরজায় তালা লাগিয়ে’ বিএনপি নেতার ঘরে আগুন, ঘুমন্ত শিশুর মৃত্যু, দগ্ধ আরও ৩",https://www.prothomalo.com/bangladesh/district/xctkrad08f,bn,
প্রথম আলো,সরকারের মান-অভিমানের সুযোগ নেই: তারেক রহমান,https://www.prothomalo.com/politics/hpuqtw02xd,bn,
প্রথম আলো,"তারেক রহমানের প্রত্যাবর্তন, সাতটি ট্রেন ভাড়া নিচ্ছে বিএনপি",https://www.prothomalo.com/politics/an2qglrigg,bn,
প্রথম আলো,নারায়ণগঞ্জে সরে দাঁড়ানো বিএনপি প্রার্থী মাসুদুজ্জামানের নির্বাচনে অংশ নেওয়ার ঘোষণা,https://www.prothomalo.com/bangladesh/district/gh63o1yi42,bn,
প্রথম আলো,ভোটের প্রচারকৌশল ও ভোট নিয়ে প্রশিক্ষণের বড় কর্মপরিকল্পনা বিএনপির,https://www.prothomalo.com/politics/sulmb2nbnt,bn,
প্রথম আলো,চট্টগ্রামে এক আসনে মনোনয়নপত্র নিলেন বিএনপির তিন নেতা,https://www.prothomalo.com/bangladesh/district/y8q9qlm8i4,bn,
প্রথম আলো,"কোন আসনে বিএনপির প্রার্থী কে, দেখে নিন",https://www.prothomalo.com/politics/fshzbhqbdx,bn,
প্রথম আলো,এক কোটি ‘সৎ মানুষের’ খোঁজ পাবে কি বিএনপি,https://www.prothomalo.com/opinion/column/0ziwvfif83,bn,
প্রথম আলো,কার ওপর ভরসা করছে বিএনপি,https://www.prothomalo.com/opinion/column/nkxgwhy766,bn,
